"PROCSFUNCT,ATDSKU,ATDTTK,ATDSTK,ATDCTK,SACTYP,SACSTP,SACCOD,SACDSC,ANALYSIS,WEBPGPROD,SUBCATSEQ,DEFDESC,CLASNM,SCLASNM,SNUMBR,ISTYLN,WEBID"
"C,184337,11775,112102,112156,Terminal Tackle,Subcategory,Hooks,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184337,11775,112104,112115,Terminal Tackle,Classification,Saltwater,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184337,11775,112105,112309,Terminal Tackle,Brand,Mustad,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184337,11775,112106,112371,Terminal Tackle,Product Color,Nickel,,0,0,4.0,1,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184337,11775,112107,112163,Terminal Tackle,Size,1/0,,0,0,3.0,1,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184337,11775,112112,112511,Terminal Tackle,Quantity,100,,0,0,10.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,184338,11775,112102,112156,Terminal Tackle,Subcategory,Hooks,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,"
"C,186347,11775,112102,112156,Terminal Tackle,Subcategory,Hooks,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112103,112176,Terminal Tackle,Type,Bait Hooks,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112104,112115,Terminal Tackle,Classification,Saltwater,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112105,112309,Terminal Tackle,Brand,Mustad,,0,0,.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112106,112371,Terminal Tackle,Product Color,Nickel,,0,0,4.0,1,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112107,112122,Terminal Tackle,Size,8,,0,0,3.0,1,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186347,11775,112112,112511,Terminal Tackle,Quantity,100,,0,0,10.0,2,HOOKS,HOOKS,1062379,185-00609,380172836"
"C,186348,11775,112102,112156,Terminal Tackle,Subcategory,Hooks,,0,0,.0,2,HOOKS,HOOKS,1062382,185-00612,"
"C,357216,12763,98600,98641,Lures,Weight,3/8 oz.,,0,0,6.0,1,BRANDED HARDBAITS,BRANDED SUSP MINNOWS,1084620,130-58069,"
"C,357218,12763,98600,98641,Lures,Weight,3/8 oz.,,0,0,6.0,1,BRANDED HARDBAITS,BRANDED SUSP MINNOWS,1084620,130-58069,"
"C,357219,12763,98600,98641,Lures,Weight,3/8 oz.,,0,0,6.0,1,BRANDED HARDBAITS,BRANDED SUSP MINNOWS,1084620,130-58069,"
