PROCSFUNCT|STRNUM|INUMBR|ITEMNO|IDESCR|ISTYLN|SNUMBR|GGSKU|IDEPT|ISDEPT|ICLAS|ISCLAS|DEPTNM|SDEPTNM|CLASNM|SCLASNM|MCHNUM|ASNUM|IVNDPN|IUPC|DSPNCD|ISTYPE|GIFTCARD|PHYGCCNTRY|IMFGR|ILCOD|ICUCST|ORIGN|REGPRC|SALPRC|OFFTXT|CA_ORIGN|CA_REGPRC|CA_SALPRC|CA_OFFTXT|BTCCOD|AVLFS|ONORD|SKUSDTW|SKUEDTW|SSNSDTW|SSNEDTW|SSTYLE|IDLGTH|IDWDTH|IDHGHT|IWGHT|IUCOD|SKUORG|SKUORGDES|ECCN|BUYFLAG|ADDTOCART|SALEFLAG|CLEARFLAG|PUBFLAG|BOFLAG|NEWFLAG|NEWARVLFLG|DROPSHPFLG|PRESALEFLG|SOLOSALE|RTLONHAND|RTLONLYFLG|HLDCOD|NAVIGATE|LIVEFLAG|FLAG1|FLAG2|FLAG3|FLAG4|FLAG5|FLAG6|BUYMSG|DUTY|WEBID|IMLAB1|IMLAB2|CA_BUYFLG|CA_SALEFLG|CA_CLRFLG|CA_PUBFLG|CA_BUYMSG|CA_FLAG1|CA_FLAG2|CA_FLAG3|CA_FLAG4|CA_FLAG5|CA_FLAG6|TRNSDT
C|701|125900|86006700|MEC SM BOTTLE POWDER OR SHOT|409-87443|1091175||450|421|170|20|SHOOTING|SHOOTING/GUN ACCESSORIES|RELOADING ACCESSORIES|SHOTSHELL ACCESSORIES|H03|216284|301L13X|98489014670|A|01||||V|5.500|9.990|9.990|9.990||13.990|13.990|13.990||BTC9503|-1|12|20120826|99999999|||MEC LG CONTAINER PWDR OR SHOT|6.8|3.0|3.0|1.800|G|US|UNITED STATES|0B986|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||B|.00000|120829053247145|CLEAR|SMALL-6" HIGH|Y|N|N|Y|B|||||||
C|701|168345|25085201|NO=EQL SPOONS SW|175-21416|1069440||151|175|50|20|SALTWATER FISHING|LURES|METAL JIGS|BRAND|F02|220117|2|25664000203|A|01||||V|10.880|5.790|5.790|5.790||.000|.000|.000||BTC0002|10|24|20051113|99999999|||NO=EQL SPOONS SW|5.8|2.0|.5|1.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8335|CHROME|1/2 OZ|N|N|N|N||||||||
C|701|168349|25085801|NO=EQL SPOONS SW|175-21416|1069440||151|175|50|20|SALTWATER FISHING|LURES|METAL JIGS|BRAND|F02|220117|3|25664000302|A|01||||V|4.050|6.990|6.990|6.990||.000|.000|.000||BTC0002|6|60|20050814|99999999|||NO=EQL SPOONS SW|5.8|2.0|.9|2.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8335|CHROME|1 1/4 OZ|N|N|N|N||||||||
C|701|168354|25085802|NO=EQL SPOONS SW|175-21416|1069440||151|175|50|20|SALTWATER FISHING|LURES|METAL JIGS|BRAND|F02|220117|3B|25664000319|A|01||||V|4.740|8.990|8.990|8.990||.000|.000|.000||BTC0002|21|26|20050814|99999999|||NO=EQL SPOONS SW|7.0|3.6|1.0|2.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8335|CHROME/WHT BKTL|1 1/4 OZ|N|N|N|N||||||||
C|701|168394|25085701|NO=EQL SPOONS SW|175-21416|1069440||151|175|50|20|SALTWATER FISHING|LURES|METAL JIGS|BRAND|F02|220117|4H|25664004409|A|01||||V|8.430|8.990|8.990|8.990||.000|.000|.000||BTC0002|4|24|20050814|99999999|||NO=EQL SPOONS SW|7.0|3.6|1.0|4.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8335|CHROME|3 OZ|N|N|N|N||||||||
C|701|168469|49350832|TREBLE HOOK|135-34204|1076490||100|135|20|40|FISHING|TERMINAL TACKLE|HOOKS|TREBBLE|F04|3508|3551-BR-12/0-5|23534245051|A|01||||V|6.830|14.490|14.490|14.490||18.190|18.190|18.190||BTC0002|15|45|20050911|99999999|||TREBLE HOOK|5.1|3.0|2.0|2.460|G|CN|CHINA|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|1654|BRONZE|12/0 5PK|Y|N|N|Y|F|||||||
C|701|170538|48167001|MALIN LEADER WIRE|185-00431|1062238||151|180|60|10|SALTWATER FISHING|TERMINAL|WIRE|WIRE|F04|200469|LC4-42|92414004255|A|01||||V|.810|1.890|1.890|1.890||.000|.000|.000||BTC0002|10|72|20070923|99999999|||MALIN LEADER WIRE|7.3|7.0|.1|1.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8581|COFFEE LC4-42|42 FT.|N|N|N|N||||||||
C|701|171331|42296000|50 YD LEADER SKEIN|180-02659|1062932||151|180|20|10|SALTWATER FISHING|TERMINAL|LEADERS|MONOFILAMENT|F04|2932|PCW5000060|43473530605|A|01||||V|3.290|6.990|6.990|6.990||8.790|8.790|8.790||BTC0002|-3|60|20050814|99999999|||50 YD. SKEIN-LEADER|5.7|5.7|.7|4.000|G|DE|GERMANY|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||B|7.00000|2355|CLEAR|60LB 50 YD|Y|N|N|Y|B|||||||
C|701|171332|42296200|50 YD LEADER SKEIN|180-02659|1062932||151|180|20|10|SALTWATER FISHING|TERMINAL|LEADERS|MONOFILAMENT|F04|2932|PCW5000080|43473530803|A|01||||V|3.800|7.990|7.990|7.990||9.990|9.990|9.990||BTC0002|15|100|20050821|99999999|||50 YD. SKEIN-LEADER|5.0|5.0|1.0|44.800|G|DE|GERMANY|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|7.00000|2355|CLEAR|80LB 50 YD|Y|N|N|Y|F|||||||
C|701|171333|42296400|50 YD LEADER SKEIN|180-02659|1062932||151|180|20|10|SALTWATER FISHING|TERMINAL|LEADERS|MONOFILAMENT|F04|2932|PCW5000100|43473530018|A|01||||V|4.330|9.490|9.490|9.490||11.990|11.990|11.990||BTC0002||20|20050814|99999999|||50 YD. SKEIN-LEADER|5.0|5.0|1.0|1.600|G|DE|GERMANY|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||B|7.00000|2355|CLEAR|100LB 50 YD|Y|N|N|Y|B|||||||
C|701|172839|49357625|O'SHAUGHNESSY HOOKS|185-37826|1078042||151|180|40|10|SALTWATER FISHING|TERMINAL|HOOKS|HOOKS|F04|3508|94151-BR-5/0-50|23534151703|A|01||||V|3.460|7.990|7.990|7.990||9.990|9.990|9.990||BTC0002|17|10|20050821|99999999|||O'SHAUGHNESSY HOOKS|3.7|2.5|1.1|3.260|G|CN|CHINA|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|380172836|BRONZE|5/0  50 PK|Y|N|N|Y|F|||||||
C|701|173839|24337804|TROLLING FEATHERS|175-27709|1073054||151|175|35|20|SALTWATER FISHING|LURES|TROLLING FEATHERS|BRANDED|F02|200574|ZF 4|723653104313|A|01||||V|5.760|11.990|11.990|11.990||.000|.000|.000||BTC0002|21|12|20050821|99999999|||TROLLING FEATHERS|7.6|1.0|1.0|2.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|8102|RED/WHITE/PINK|6" 1.5 OZ.|N|N|N|N||||||||
C|701|174686|28466129|ROOSTER TAIL|131-04027|1063128||100|133|50|60|FISHING|COLD WATER LURES|SALMON/TROUT|INLINE SPINNERS BRNDED|F03|3223|210-PKFL-P|42965408569|A|01||||V|2.020|3.790|3.290|3.290||4.790|4.490|4.490||BTC0002|17|24|20050821|99999999|||ROOSTER TAIL|5.0|1.9|.8|.320|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|46138|PINK FLO|1/6 OZ|Y|N|N|Y|F|||||||
C|701|176790|44517600|WEIGHTED FLOATS|185-14997|1065775||151|180|90|10|SALTWATER FISHING|TERMINAL|FLOATS|FLOATS|F04|3186|M80W-5RW|42621135310|A|01||||V|1.070|3.490|3.490|3.490||.000|.000|.000||BTC0002|59|24|20050828|99999999|||WEIGHTED FLOATS|7.0|3.5|1.5|2.000|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|7978|RED/WHITE|5"  2 PACK|N|N|N|N||||||||
C|701|177885|24052506|SLUG-GO|132-31727|1074583||100|132|20|26|FISHING|SOFTBAITS|BRANDED SOFTBAITS|BRANDED JERKBAITS|F02|200782|60610|725442606107|A|01||||V|3.840|7.790|7.790|7.790||8.990|8.990|8.990||BTC0002|10|18|20050821|99999999|||LUNKER CITY SLUGO|7.0|5.0|1.8|3.840|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|15698|ARK SHNR|6" 10 PK|Y|N|N|Y|F|||||||
C|701|177891|24052006|SLUG-GO|132-31727|1074583||100|132|20|26|FISHING|SOFTBAITS|BRANDED SOFTBAITS|BRANDED JERKBAITS|F02|200782|40610|725442406103|A|01||||V|3.290|6.990|6.990|6.990||7.990|7.990|7.990||BTC0002|23|12|20050821|99999999|||LUNKER CITY SLUGO|7.0|5.0|1.8|3.840|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|15698|ARK SHNR|4 1/2" 10PK|Y|N|N|Y|F|||||||
C|701|180379|28466639|ROOSTER TAIL|131-04027|1063128||100|133|50|60|FISHING|COLD WATER LURES|SALMON/TROUT|INLINE SPINNERS BRNDED|F03|3223|212-SNOW-P|42965409979|A|01||||V|2.020|3.790|3.290|3.290||4.790|4.490|4.490||BTC0002|33|24|20050814|99999999|||ROOSTER TAIL|5.0|1.9|.8|.480|G|US|UNITED STATES|EAR99|Y|Y|N|N|Y|Y|N|N|N|N|Y|Y|N||Y|N|Y|N|N||N||F|.00000|46139|SNOW|1/4 OZ|Y|N|N|Y|F|||||||
